Chile, Period total fertility rates and period total fertility rates by age 40
Last modified: 19/05/2014
Year       TFR     TFR40
1992     2.499     2.419
1993     2.442     2.361
1994     2.394     2.318
1995     2.307     2.233
1996     2.271     2.199
1997     2.210     2.138
1998     2.173     2.103
1999     2.105     2.037
2000     2.084     2.016
2001     2.053     1.985
2002     1.987     1.918
2003     1.943     1.874
2004     1.908     1.838
2005     1.894     1.825
